[PROBLEM DOMAIN TSP
,   instance 2 
,     RUN 0, 	8226.405922214608	0.062	0.725	731
,     RUN 1, 	8281.693177327985	0.063	18.176	4056
,     RUN 2, 	8292.814584550792	0.063	21.227	7839
,     RUN 3, 	8120.053795031106	0.063	20.387	11029
,     RUN 4, 	8400.336511380889	0.063	21.041	12867
,     RUN 5, 	8262.434751033674	0.063	22.807	11627
,     RUN 6, 	8114.644181372443	0.064	23.25	11007
,     RUN 7, 	8297.350694918989	0.064	21.989	11844
,     RUN 8, 	8221.993787620015	0.064	19.654	11876
,     RUN 9, 	8591.686046006493	0.064	20.965	11007
,     RUN 10, 	8347.962324243437	0.065	20.244	12776
,     RUN 11, 	8245.073399814242	0.065	17.525	11577
,     RUN 12, 	8280.132677845611	0.065	20.196	12239
,     RUN 13, 	8107.342979495796	0.065	15.408	12800
,     RUN 14, 	8402.270862407082	0.065	20.033	12351
,     RUN 15, 	8441.545482981053	0.066	19.863	12072
,     RUN 16, 	8160.918983630936	0.066	16.022	11797
,     RUN 17, 	8320.199064136787	0.066	19.024	12118
,     RUN 18, 	8223.893318840674	0.066	17.992	11929
,     RUN 19, 	8439.490761021152	0.066	17.29	12096
,     RUN 20, 	8297.350694918989	0.067	16.733	11707
,     RUN 21, 	8215.620246037219	0.067	16.961	12043
,     RUN 22, 	8425.51604619123	0.067	15.535	12759
,     RUN 23, 	8208.291394110724	0.067	14.555	11000
,     RUN 24, 	8286.316586734663	0.067	13.699	12557
,     RUN 25, 	8300.781210341802	0.067	13.898	11916
,     RUN 26, 	8245.82779870767	0.068	13.935	10970
,     RUN 27, 	8305.27437653431	0.068	13.44	12412
,     RUN 28, 	8262.423185059408	0.068	12.498	11992
,     RUN 29, 	8021.779488390613	0.068	12.929	12441
,     RUN 30, 	8206.919803405082	0.068	12.534	11573
]
