[PROBLEM DOMAIN FlowShop
,   instance 1 
,     RUN 0, 	6612.0	0.027	22.675	10772
,     RUN 1, 	6584.0	0.028	24.958	9131
,     RUN 2, 	6544.0	0.028	18.288	11273
,     RUN 3, 	6529.0	0.028	23.487	9732
,     RUN 4, 	6567.0	0.028	24.259	10165
,     RUN 5, 	6541.0	0.028	18.428	11380
,     RUN 6, 	6549.0	0.028	22.6	10188
,     RUN 7, 	6606.0	0.028	20.007	9885
,     RUN 8, 	6594.0	0.029	21.13	9359
,     RUN 9, 	6599.0	0.029	22.533	9999
,     RUN 10, 	6601.0	0.029	20.936	9664
,     RUN 11, 	6535.0	0.029	17.578	11005
,     RUN 12, 	6596.0	0.029	16.075	10985
,     RUN 13, 	6685.0	0.029	14.583	11048
,     RUN 14, 	6492.0	0.029	18.358	10725
,     RUN 15, 	6575.0	0.029	16.537	9472
,     RUN 16, 	6442.0	0.03	19.663	10111
,     RUN 17, 	6515.0	0.03	18.299	10397
,     RUN 18, 	6545.0	0.03	16.458	10432
,     RUN 19, 	6645.0	0.03	17.502	10762
,     RUN 20, 	6511.0	0.03	19.042	10388
,     RUN 21, 	6529.0	0.03	17.279	10150
,     RUN 22, 	6563.0	0.03	17.457	10059
,     RUN 23, 	6541.0	0.03	16.089	8723
,     RUN 24, 	6548.0	0.03	16.167	10291
,     RUN 25, 	6630.0	0.031	14.252	9953
,     RUN 26, 	6598.0	0.031	12.849	9784
,     RUN 27, 	6572.0	0.031	13.803	10284
,     RUN 28, 	6544.0	0.031	14.117	9606
,     RUN 29, 	6585.0	0.031	14.553	10305
,     RUN 30, 	6532.0	0.031	14.234	9958
]
